Year,Sex,Age,Area,Value,Flags
"2013","Female","25-29 years","Maori Park",42,
"2013","Female","15-19 years","Pleasant Point",24,
"2013","Male","10-14 years","Maori Park",27,
"2013","Male","95-99 years","Geraldine",0,
"2013","Female","30-34 years","Fraser Park",78,
"2013","Male","75-79 years","Parkside",30,
"2013","Female","5-9 years","Parkside",75,
"2013","Female","80-84 years","Highfield",90,
"2013","Male","80-84 years","Winchester",,c
"2013","Male","90-94 years","Glenwood",9,
"2013","Female","55-59 years","Marchwiel",114,
"2013","Female","25-29 years","Winchester",6,
"2013","Male","15-19 years","Maori Park",27,
"2013","Female","0-4 years","Highfield",78,
"2013","Female","70-74 years","Waimataitai",33,
"2013","Male","15-19 years","Watlington",99,
"2013","Female","90-94 years","Pareora",,c
"2013","Male","100 years and over","Timaru Gardens",0,
"2013","Male","35-39 years","Fairview-Scarborough",18,
"2013","Female","50-54 years","Glenwood",57,
"2013","Male","55-59 years","Maori Park",51,
"2013","Female","0-4 years","Waimataitai",36,
"2013","Male","0-4 years","Parkside",84,
"2013","Male","85-89 years","Otipua Creek-Washdyke Flat",3,
"2013","Female","100 years and over","Inlet-Port Timaru",,c
"2013","Male","0-4 years","Pareora",9,
"2013","Female","70-74 years","Redruth",,c
"2013","Male","15-19 years","Washdyke",30,
"2013","Male","0-4 years","Inlet-Port Timaru",,c
"2013","Female","80-84 years","Pareora",6,
"2013","Female","0-4 years","Geraldine",66,
"2013","Male","85-89 years","Maori Park",9,
"2013","Female","95-99 years","Marchwiel",3,
"2013","Male","35-39 years","Winchester",9,
"2013","Female","15-19 years","Marchwiel",99,
"2013","Male","30-34 years","Levels",66,
"2013","Female","100 years and over","Parkside",3,
"2013","Male","45-49 years","Otipua Creek-Washdyke Flat",24,
"2013","Male","100 years and over","Glenwood",0,
"2013","Male","5-9 years","Timaru Gardens",51,
"2013","Male","75-79 years","Washdyke",15,
"2013","Female","35-39 years","Seaview",69,
"2013","Male","60-64 years","Timaru Gardens",51,
"2013","Male","55-59 years","Watlington",51,
"2013","Female","15-19 years","Temuka",114,
"2013","Female","40-44 years","Pleasant Point",45,
"2013","Male","75-79 years","Fraser Park",39,
"2013","Female","65-69 years","Winchester",9,
"2013","Female","50-54 years","Winchester",12,
"2013","Male","20-24 years","Levels",51,
"2013","Female","60-64 years","Pareora",12,
"2013","Female","85-89 years","Marchwiel",51,
"2013","Female","80-84 years","Fraser Park",54,
"2013","Male","85-89 years","Marchwiel",30,
"2013","Female","45-49 years","Parkside",93,
"2013","Male","65-69 years","Geraldine",90,
"2013","Male","0-4 years","Timaru Gardens",42,
"2013","Male","35-39 years","Orari",126,
"2013","Male","15-19 years","Redruth",,c
"2013","Female","20-24 years","Highfield",63,
"2013","Female","15-19 years","Maori Park",24,
"2013","Female","90-94 years","Fraser Park",18,
"2013","Female","10-14 years","Fraser Park",72,
"2013","Male","75-79 years","Levels",33,
"2013","Male","5-9 years","Washdyke",21,
"2013","Female","55-59 years","Otipua Creek-Washdyke Flat",33,
"2013","Male","85-89 years","Glenwood",15,
"2013","Male","90-94 years","Ben Mcleod",,c
"2013","Female","60-64 years","Seaview",90,
"2013","Male","65-69 years","Waimataitai",33,
"2013","Female","50-54 years","Fairview-Scarborough",27,
"2013","Male","70-74 years","Pleasant Point",33,
"2013","Female","5-9 years","Inlet-Port Timaru",,c
