School ID,School Name,Decile,Type,Authority,Gender,Regional Council,Education Region,TA with Auckland Local Board,Total,Female,Male,M?ori,Pasifika,Asian,MELAA,Other,European/ P?keh?,International fee paying,All Funded,Alternative Education,International fee paying,Secondary-Tertiary programme,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 22+,Level 1,Level 2,Level 3,Level 4a,Level 4b,Level 5,Taha M?ori,None,NZ M?ori,Samoan,Cook Is. M?ori,Tongan,Niue,Fijian,Tokelauan,Other Pacific,Soutth East Asian,Indian,Chinese,Other Asian,Middle Eastern,Latin American,African,Other,NZ European,Other European,International fee Paying
26,Kaipara College,7,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Rodney,576,276,300,163,19,22,2,4,355,11,563,2,11,0,0,0,0,0,0,0,0,0,121,119,123,133,80,0,0,0,0,0,0,0,0,0,0,98,123,130,119,85,17,3,0,0,1,0,0,0,0,47,0,25,491,163,8,1,2,0,7,0,1,11,2,4,5,0,0,2,4,317,38,11
27,Long Bay College,10,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Hibiscus and Bays,"1,752",851,901,73,13,98,22,0,"1,447",99,"1,653",0,99,0,0,0,0,0,0,0,0,0,373,368,372,354,285,0,0,0,0,0,0,0,0,0,1,310,351,363,342,295,81,9,0,0,0,0,0,0,0,49,0,0,"1,604",73,5,1,4,1,1,0,1,20,8,30,40,13,7,2,0,852,595,99
28,Rangitoto College,10,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Upper Harbour,"2,983","1,448","1,535",181,41,684,213,48,"1,622",194,"2,789",0,194,0,0,0,0,0,0,0,0,0,575,563,663,608,574,0,0,0,0,0,0,0,0,0,2,461,554,621,611,568,161,5,0,0,0,0,0,0,0,106,0,0,"2,683",181,15,2,9,3,4,2,6,67,39,259,319,21,12,180,48,"1,267",355,194
29,Kristin School,10,Composite (Year 1-15),Private: Fully Reg.,Co-Ed,Auckland Region,Auckland,Auckland- Upper Harbour,"1,488",720,768,34,7,313,27,2,"1,069",36,"1,452",0,36,0,32,47,46,51,76,67,160,133,170,161,178,197,170,0,0,32,47,46,51,73,70,137,130,159,159,185,181,190,27,1,0,0,0,0,0,0,0,0,0,928,524,34,4,1,0,0,0,0,2,32,28,188,65,15,9,3,2,598,471,36
30,Glenfield College,7,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Kaipatiki,744,294,450,132,58,195,50,1,260,48,696,0,48,0,0,0,0,0,0,0,0,0,134,149,152,182,127,0,0,0,0,0,0,0,0,0,0,108,131,168,159,131,43,4,0,0,0,0,0,0,0,74,0,0,622,132,23,3,17,3,7,1,4,129,29,13,24,13,4,33,1,229,31,48
31,Birkenhead College,6,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Kaipatiki,718,327,391,116,111,103,16,1,343,28,690,0,28,0,0,0,0,0,0,0,0,0,141,148,160,136,133,0,0,0,0,0,0,0,0,0,1,106,146,164,131,130,35,2,1,1,1,0,0,0,0,44,15,0,631,116,46,7,38,2,13,4,1,52,16,16,19,6,0,10,1,297,46,28
32,Northcote College,8,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Kaipatiki,"1,122",540,582,180,86,149,39,3,575,90,"1,032",0,90,0,0,0,0,0,0,0,0,0,174,228,241,254,225,0,0,0,0,0,0,0,0,0,0,146,211,236,251,219,52,5,2,0,0,0,0,0,0,36,47,0,949,180,28,4,35,7,8,0,4,43,23,39,44,6,12,21,3,514,61,90
33,Hato Petera College,2,Secondary (Year 9-15),State: Integrated,Co-Ed,Auckland Region,Auckland,Auckland- Kaipatiki,108,47,61,108,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,36,17,28,14,13,0,0,0,0,0,0,0,0,0,0,33,17,27,15,12,4,0,0,0,0,0,0,108,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Carmel College,10,Secondary (Year 7-15),State: Integrated,Single Sex-Girls,Auckland Region,Auckland,Auckland- Devonport-Takapuna,"1,049","1,049",0,67,49,179,68,7,641,38,"1,011",0,38,0,0,0,0,0,0,0,150,149,154,149,160,144,143,0,0,0,0,0,0,0,0,124,141,167,131,157,163,134,30,2,0,0,0,0,0,0,0,7,65,149,790,67,19,2,20,0,5,2,1,62,30,30,57,32,8,28,7,556,85,38
36,Takapuna Grammar School,10,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Devonport-Takapuna,"1,581",747,834,96,34,185,28,5,"1,094",139,"1,442",0,139,0,0,0,0,0,0,0,0,0,323,309,327,321,292,9,0,0,0,0,0,0,0,0,2,262,317,309,319,291,73,7,1,0,0,0,0,14,39,34,0,0,"1,355",96,11,6,4,9,3,0,1,13,18,59,95,16,7,5,5,863,231,139
37,Westlake Boys' High School,9,Secondary (Year 9-15),State: Not integrated,Single Sex-Boys,Auckland Region,Auckland,Auckland- Devonport-Takapuna,"2,283",0,"2,283",157,90,786,80,9,"1,014",147,"2,135",1,147,0,0,0,0,0,0,0,0,0,408,460,486,501,428,0,0,0,0,0,0,0,0,0,6,324,441,465,510,432,100,4,1,0,0,0,0,0,0,23,91,0,"2,021",157,28,7,36,7,8,2,2,155,58,280,293,35,10,35,9,667,347,147
38,Westlake Girls' High School,9,Secondary (Year 9-15),State: Not integrated,Single Sex-Girls,Auckland Region,Auckland,Auckland- Devonport-Takapuna,"2,160","2,160",0,153,99,742,62,34,945,125,"2,035",0,125,0,0,0,0,0,0,0,0,0,417,409,501,458,375,0,0,0,0,0,0,0,0,0,10,346,419,454,464,380,84,3,0,0,0,0,0,0,0,82,0,0,"1,953",153,41,8,24,3,14,1,8,138,104,229,271,35,5,22,34,778,167,125
39,Rosmini College,9,Secondary (Year 7-15),State: Integrated,Single Sex-Boys,Auckland Region,Auckland,Auckland- Devonport-Takapuna,"1,030",0,"1,030",76,67,155,47,0,655,30,"1,000",0,30,0,0,0,0,0,0,0,155,151,165,156,146,133,124,0,0,0,0,0,0,0,1,118,148,166,157,156,130,128,25,1,0,0,0,0,0,0,0,27,137,0,836,76,36,1,22,2,3,1,2,79,18,23,35,33,7,7,0,566,89,30
40,Rutherford College,6,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Henderson-Massey,"1,395",669,726,285,190,190,40,4,647,39,"1,356",0,39,0,0,0,0,0,0,0,0,0,317,276,294,278,230,0,0,0,0,0,0,0,0,0,1,258,272,294,270,244,42,9,4,1,0,0,0,0,0,153,0,0,"1,203",285,81,26,14,12,40,0,17,12,43,74,61,15,0,25,4,573,74,39
41,Macleans College,10,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Howick,"2,553","1,234","1,319",60,30,"1,190",52,14,930,277,"2,276",0,277,0,0,0,0,0,0,0,0,0,469,495,536,582,471,0,0,0,0,0,0,0,0,0,4,369,460,527,547,489,149,8,0,0,0,0,0,0,0,1,36,0,"2,239",60,18,3,2,3,3,0,1,106,240,686,158,20,10,22,14,616,314,277
42,Green Bay High School,8,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Whau,"1,399",695,704,218,66,72,28,2,979,34,"1,294",71,34,0,0,0,0,0,0,0,0,0,315,356,313,244,171,0,0,0,0,0,0,0,0,0,1,256,353,315,244,189,40,1,0,0,0,0,0,0,0,65,0,0,"1,229",218,23,11,7,4,17,1,3,24,22,14,12,11,10,7,2,888,91,34
43,Massey High School,5,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Henderson-Massey,"2,144","1,059","1,085",464,466,256,60,1,873,24,"1,994",0,24,126,0,0,0,0,0,0,0,0,460,425,452,429,375,1,2,0,0,0,0,0,0,0,3,378,458,423,428,359,82,13,0,0,0,37,28,8,23,79,0,0,"1,819",464,207,55,67,36,26,14,61,77,78,40,61,39,4,17,1,773,100,24
44,Waitakere College,3,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Henderson-Massey,"1,384",682,702,350,366,192,56,3,402,15,"1,353",3,15,13,0,0,0,0,0,0,0,0,335,303,343,226,165,10,2,0,0,0,0,0,0,0,1,277,302,309,256,184,46,7,1,1,0,0,0,0,93,0,0,0,"1,260",350,173,25,47,19,44,5,53,81,51,27,33,21,5,30,3,353,49,15
45,Henderson High School,4,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Henderson-Massey,583,309,274,137,103,42,16,0,265,20,562,1,20,0,0,0,0,0,0,0,0,0,126,143,113,113,88,0,0,0,0,0,0,0,0,0,0,96,138,122,109,86,30,1,1,0,0,0,0,0,0,24,18,520,0,137,60,11,7,8,4,11,2,10,22,4,6,10,0,6,0,253,12,20
46,Liston College,5,Secondary (Year 7-15),State: Integrated,Single Sex-Boys,Auckland Region,Auckland,Auckland- Henderson-Massey,781,0,781,68,152,218,33,0,279,31,750,0,31,0,0,0,0,0,0,0,91,110,126,122,139,113,80,0,0,0,0,0,0,0,0,70,111,122,125,128,122,86,16,1,0,0,0,0,0,0,0,0,0,91,659,68,71,6,31,8,28,2,6,106,66,26,20,2,1,30,0,233,46,31
47,St Dominic's Catholic College (Henderson),6,Secondary (Year 7-15),State: Integrated,Single Sex-Girls,Auckland Region,Auckland,Auckland- Henderson-Massey,902,902,0,89,170,193,47,1,354,48,854,0,48,0,0,0,0,0,0,0,117,135,175,114,125,121,115,0,0,0,0,0,0,0,0,99,135,168,126,106,134,111,22,1,0,0,0,0,0,0,0,0,236,0,618,89,80,12,36,5,21,2,14,102,48,23,20,7,5,35,1,325,29,48
48,Western Springs College,8,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Waitemata,"1,319",563,756,292,139,89,22,6,725,46,"1,273",0,46,0,0,0,0,0,0,0,0,0,260,288,288,261,222,0,0,0,0,0,0,0,0,0,2,225,282,286,254,228,42,0,0,0,0,87,37,52,0,42,0,0,"1,055",292,43,40,24,25,7,0,0,13,26,26,24,7,7,8,6,713,12,46
49,Selwyn College,4,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Orakei,870,462,408,131,125,199,127,18,249,21,849,0,21,0,0,0,0,0,0,0,0,0,172,157,176,118,86,9,152,0,0,0,0,0,0,0,1,141,150,171,126,101,18,5,4,0,153,0,0,0,0,88,0,0,761,131,31,28,32,14,8,1,11,98,19,41,41,102,10,15,18,193,56,21
50,St Mary's College (Ponsonby),7,Secondary (Year 7-15),State: Integrated,Single Sex-Girls,Auckland Region,Auckland,Auckland- Waitemata,899,899,0,69,126,85,7,4,587,21,878,0,21,0,0,0,0,0,0,0,117,129,166,121,129,123,114,0,0,0,0,0,0,0,0,97,129,159,137,121,126,117,12,1,0,0,0,0,0,0,0,0,159,719,0,69,71,10,34,6,2,3,0,38,27,11,9,2,1,4,4,548,39,21
51,St Paul's College (Ponsonby),3,Secondary (Year 7-15),State: Integrated,Single Sex-Boys,Auckland Region,Auckland,Auckland- Waitemata,257,0,257,38,207,9,0,0,3,0,257,0,0,0,0,0,0,0,0,0,26,24,44,37,46,43,37,0,0,0,0,0,0,0,0,20,26,40,39,41,43,38,8,2,0,0,0,0,0,0,0,0,50,0,207,38,71,20,90,21,3,0,2,8,0,1,0,0,0,0,0,3,0,0
52,Tyndale Park Christian School,99,Composite (Year 1-15),Private: Fully Reg.,Co-Ed,Auckland Region,Auckland,Auckland- Howick,118,58,60,0,0,0,0,118,0,0,118,0,0,0,10,9,9,11,2,8,14,8,13,10,9,8,4,2,1,10,9,9,11,2,8,14,8,13,10,9,8,4,2,1,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
53,Auckland Girls' Grammar School,5,Secondary (Year 9-15),State: Not integrated,Single Sex-Girls,Auckland Region,Auckland,Auckland- Waitemata,"1,374","1,374",0,330,600,230,54,1,132,27,"1,344",0,27,3,0,0,0,0,0,0,0,0,303,275,275,271,250,0,0,0,0,0,0,0,0,0,0,258,274,288,253,261,35,4,1,0,0,0,0,21,20,117,0,0,"1,186",330,280,53,178,61,22,4,2,70,103,40,17,26,5,23,1,117,15,27
54,Auckland Grammar,10,Secondary (Year 9-15),State: Not integrated,Single Sex-Boys,Auckland Region,Auckland,Auckland- Albert-Eden,"2,547",0,"2,547",144,106,924,51,12,"1,198",112,"2,435",0,112,0,0,0,0,0,0,0,0,0,508,529,551,527,432,0,0,0,0,0,0,0,0,0,10,401,522,518,522,458,110,5,0,1,0,0,0,0,0,0,0,0,"2,435",144,39,15,42,4,4,0,2,58,147,461,258,31,9,11,12,"1,117",81,112
57,Tamaki College,1,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Maungakiekie-Tamaki,559,270,289,148,390,5,0,1,15,0,502,0,0,57,0,0,0,0,0,0,0,0,114,113,114,106,100,11,1,0,0,0,0,0,0,0,0,91,110,122,98,99,35,3,1,0,0,0,0,0,12,0,42,448,0,148,85,80,189,29,6,0,1,3,1,0,1,0,0,0,1,14,1,0
58,Tangaroa College,1,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Auckland,Auckland- Otara-Papatoetoe,918,461,457,135,746,20,1,0,7,9,905,4,9,0,0,0,0,0,0,0,0,0,195,206,185,178,154,0,0,0,0,0,0,0,0,0,2,177,188,185,176,154,33,3,0,0,0,0,0,0,0,124,2,0,779,135,393,199,111,33,6,3,1,6,10,1,3,1,0,0,0,5,2,9
59,Sacred Heart College (Auckland),8,Secondary (Year 7-15),State: Integrated,Single Sex-Boys,Auckland Region,Auckland,Auckland- Orakei,"1,293",0,"1,293",107,169,83,13,1,858,62,"1,231",0,62,0,0,0,0,0,0,0,133,152,193,213,204,216,182,0,0,0,0,0,0,0,0,103,147,185,206,211,199,195,41,6,0,0,0,0,0,0,0,6,30,62,"1,133",107,73,10,65,5,6,6,4,47,15,10,11,2,2,9,1,781,77,62
60,Saint Kentigern Girls' School,10,Full Primary,Private: Fully Reg.,Single Sex-Girls,Auckland Region,Auckland,Auckland- Orakei,159,159,0,4,4,23,1,1,126,0,159,0,0,0,18,18,21,13,23,19,31,16,0,0,0,0,0,0,0,15,21,21,13,23,19,28,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,4,3,0,1,0,0,0,0,0,6,13,4,0,0,1,1,102,24,0
61,Baradene College,9,Secondary (Year 7-15),State: Integrated,Single Sex-Girls,Auckland Region,Auckland,Auckland- Orakei,"1,061","1,061",0,99,87,91,7,17,732,28,"1,033",0,28,0,0,0,0,0,0,0,165,137,157,162,162,133,145,0,0,0,0,0,0,0,1,134,142,152,163,168,135,137,28,1,0,0,0,0,0,0,0,18,17,998,0,99,47,4,29,1,3,0,3,34,21,26,10,3,4,0,17,648,84,28
